return-average,return-min,return-max,return-std,episode-length-avg,episode-length-min,episode-length-max,episode-length-std,AverageForwardProgress,MaxForwardProgress,MinForwardProgress,StdForwardProgress,qf-avg,qf-std,mean-sq-bellman-error,time-train,time-eval,time-sample,time-total,epoch,max-path-return,last-path-return,pool-size,episodes,total-samples
-5.361445911080496,-5.361445911080496,-5.361445911080496,0.0,1000.0,1000,1000,0.0,-0.2547430257184953,-0.2547430257184953,-0.2547430257184953,0.0,0.16398923,0.06296627,2.1992311,0.10920236600009048,0.9213078839999298,1.0265416029999415,2.0993798269998933,0,-13.33336394739805,-13.33336394739805,1000,1,1000
-8.200208443155727,-8.200208443155727,-8.200208443155727,0.0,1000.0,1000,1000,0.0,-0.3105645875468843,-0.3105645875468843,-0.3105645875468843,0.0,1.039632,1.6921389,0.4136263,22.547771641998793,1.3884853569999223,1.2335941619995765,27.27988649599797,1,5.136644639761025,5.136644639761025,2000,2,2000
11.703278397571708,11.703278397571708,11.703278397571708,0.0,1000.0,1000,1000,0.0,0.6933282939696815,0.6933282939696815,0.6933282939696815,0.0,3.7478962,3.4180787,0.29842207,23.301403104000656,1.4506295539999883,1.2729079159980756,53.31787009499669,2,11.359975880766486,11.359975880766486,3000,3,3000
8.266754342705902,8.266754342705902,8.266754342705902,0.0,1000.0,1000,1000,0.0,0.5041919548302641,0.5041919548302641,0.5041919548302641,0.0,6.7479296,5.577649,0.3650437,24.469434170999307,0.9830823209999835,1.318161559997634,80.09901686199373,3,17.492225218051047,17.492225218051047,4000,4,4000
0.3682781454671427,0.3682781454671427,0.3682781454671427,0.0,1000.0,1000,1000,0.0,0.10505622664305961,0.10505622664305961,0.10505622664305961,0.0,8.826976,6.4083667,0.3842698,22.68934040099748,1.0647060989999773,1.2430693650009061,105.10761038999192,4,17.492225218051047,5.292815450055873,5000,5,5000
2.4976771687588633,2.4976771687588633,2.4976771687588633,0.0,1000.0,1000,1000,0.0,0.22009707630502315,0.22009707630502315,0.22009707630502315,0.0,11.071736,7.4574885,0.6186647,23.610094598000956,1.0574756470000466,1.2795927990026712,131.06452353099553,5,17.492225218051047,3.8100782299129867,6000,6,6000
2.1235413749780427,2.1235413749780427,2.1235413749780427,0.0,1000.0,1000,1000,0.0,0.2005363687568801,0.2005363687568801,0.2005363687568801,0.0,12.088988,8.138433,0.68715465,24.155890447000502,1.6898687300000574,1.294002368999145,158.22022120199506,6,17.492225218051047,1.3014791500659695,7000,7,7000
6.98701600163103,6.98701600163103,6.98701600163103,0.0,1000.0,1000,1000,0.0,0.4401793334713518,0.4401793334713518,0.4401793334713518,0.0,15.4526825,9.296034,0.7408477,23.17343259200004,1.5410173029999896,1.2732287720010618,184.22408442599647,7,17.492225218051047,10.569438029329316,8000,8,8000
7.440098699911623,7.440098699911623,7.440098699911623,0.0,1000.0,1000,1000,0.0,0.4698735179950429,0.4698735179950429,0.4698735179950429,0.0,14.015354,10.558509,0.7249453,22.834436603001222,1.3199282229999199,1.248128491002376,209.63981919399987,8,17.492225218051047,0.7048116180144017,9000,9,9000
-3.7275015294283596,-3.7275015294283596,-3.7275015294283596,0.0,1000.0,1000,1000,0.0,-0.10356484831141784,-0.10356484831141784,-0.10356484831141784,0.0,19.158173,11.150113,0.79692805,23.919451985999558,1.1220344339999428,1.284933726998588,235.977296051998,9,17.492225218051047,5.043906554198864,10000,10,10000
7.527926155038191,7.527926155038191,7.527926155038191,0.0,1000.0,1000,1000,0.0,0.4962376861003338,0.4962376861003338,0.4962376861003338,0.0,22.015,12.400315,0.96468276,22.974732143994743,1.5377866170001653,1.2508408319934006,261.7522533329866,10,17.492225218051047,9.19746327234213,11000,11,11000
6.420980623793182,6.420980623793182,6.420980623793182,0.0,1000.0,1000,1000,0.0,0.4199466324209094,0.4199466324209094,0.4199466324209094,0.0,22.0196,13.338998,0.7724839,23.951564538997445,1.1218636679998326,1.3067040509990875,288.142490956983,11,17.492225218051047,6.971032715139039,12000,12,12000
-13.693052586027681,-13.693052586027681,-13.693052586027681,0.0,1000.0,1000,1000,0.0,-0.5223992149456153,-0.5223992149456153,-0.5223992149456153,0.0,26.203644,16.44313,0.9984704,23.72169228200073,1.6616387980000127,1.286632968999129,314.8295287979822,12,17.492225218051047,1.9828851077769505,13000,13,13000
